Age,Gender,Marital Status,Employment,Income (₹),FD Amount (₹),FD Tenure (yrs),Credit Score,Base Rate (%),BPS Adjustment (%),Base Rate Type
69,Female,Married,Retired,1503064,628779,5,435,6.75,0.7,Floating
32,Male,Married,Salaried,1205934,614535,9,840,6.75,0.64,Fixed
89,Male,Married,Retired,96770,899994,9,841,6.75,0.71,Fixed
78,Female,Married,Retired,479115,810447,5,547,6.75,1.04,Floating
38,Female,Married,Salaried,32941,350279,6,519,6.75,0.39,Floating
41,Female,Married,Self-Employed,1848388,152835,1,858,6.75,0.25,Floating
20,Male,Married,Salaried,504178,14307,4,745,6.75,0.34,Floating
39,Male,Single,Salaried,1455098,440784,1,443,6.75,0.12,Floating
70,Female,Married,Retired,1472941,435559,4,373,6.75,0.58,Floating
19,Male,Married,Salaried,939664,615560,1,328,6.75,0.45,Floating
47,Male,Married,Self-Employed,667714,10710,4,420,6.75,0.82,Fixed
55,Female,Married,Salaried,1256382,542115,6,314,6.75,0.68,Floating
19,Female,Married,Salaried,1107712,658279,9,519,6.75,0.6,Fixed
81,Male,Married,Retired,1468118,305531,2,606,6.75,0.9199999999999999,Fixed
77,Female,Married,Retired,413346,669139,2,771,6.75,0.97,Floating
38,Female,Married,Salaried,1511216,427823,6,648,6.75,0.02,Floating
50,Female,Single,Salaried,1673840,855495,6,301,6.75,0.94,Floating
75,Female,Married,Retired,871615,930139,3,331,6.75,0.81,Floating
39,Male,Married,Salaried,522007,508244,2,609,6.75,0.91,Floating
66,Male,Single,Retired,758357,757883,3,564,6.75,1.22,Floating
76,Male,Married,Retired,679934,94496,4,574,6.75,1.06,Floating
59,Male,Married,Salaried,909582,357513,4,653,6.75,0.45,Floating
77,Male,Married,Retired,630934,610103,7,741,6.75,0.8200000000000001,Fixed
32,Male,Married,Salaried,1228253,365859,4,696,6.75,0.64,Fixed
79,Male,Married,Retired,1318345,416745,6,456,6.75,1.47,Fixed
79,Male,Married,Retired,820499,207727,6,493,6.75,1.3,Floating
64,Male,Single,Retired,22761,1019705,3,806,6.75,0.89,Floating
79,Female,Married,Retired,1221513,213187,9,373,6.75,0.98,Floating
68,Male,Married,Retired,262436,731368,5,586,6.75,0.97,Fixed
72,Male,Married,Retired,1124794,348490,9,883,6.75,0.76,Floating
81,Male,Married,Retired,1035934,686391,6,724,6.75,1.35,Floating
20,Male,Married,Salaried,835514,311437,6,683,6.75,0.69,Fixed
68,Female,Single,Retired,1322416,393826,9,842,6.75,1.1,Fixed
24,Male,Single,Salaried,1181782,621033,5,312,6.75,0.43,Fixed
38,Male,Married,Salaried,1193840,682006,3,370,6.75,0.24,Floating
56,Male,Married,Salaried,1410510,763477,3,350,6.75,0.64,Floating
35,Male,Single,Self-Employed,793589,508585,2,876,6.75,0.24,Floating
21,Male,Married,Salaried,786608,822431,2,856,6.75,0.01,Fixed
77,Male,Married,Retired,1538611,569734,6,864,6.75,0.5700000000000001,Floating
31,Male,Married,Self-Employed,1320948,454957,8,740,6.75,0.69,Fixed
26,Female,Single,Salaried,765152,753597,8,581,6.75,0.38,Floating
70,Female,Married,Retired,1869,532207,8,443,6.75,0.71,Fixed
19,Male,Single,Salaried,1196020,571397,7,571,6.75,0.24,Floating
77,Male,Married,Retired,1242953,203742,2,781,6.75,0.99,Floating
88,Male,Married,Retired,393804,307260,2,737,6.75,1.4100000000000001,Fixed
