Age,Gender,Marital Status,Dependents,Employment,Income (₹),Years in Job,Credit Score,Active Loans,Missed Payments (12M),Loan Amount (₹),LTV (%),DTI (%),Loan Tenure (yrs),Repayment Type,Co-applicant Present,Co-applicant Income (₹),Existing Customer,Salary Account,Base Rate Type,Base Rate (%),Dynamic Rate (%)
35,Male,Widowed,0,Part-time,440000,9,647,5,0,2830000,76,28,17,Step-up EMI,Yes,1790000,Yes,Yes,Floating,6.5,8.9
65,Male,Widowed,0,Retired,450000,35,681,4,1,1140000,70,32,13,Standard EMI,Yes,1930000,No,No,Fixed,6.5,10.09
28,Female,Single,1,Contractual,450000,5,620,3,0,1170000,86,44,29,Step-up EMI,No,1560000,Yes,Yes,Fixed,6.5,8.59
63,Female,Widowed,1,Contractual,720000,8,708,5,1,1130000,57,30,9,Standard EMI,No,1350000,No,Yes,Floating,6.5,6.33
51,Female,Married,2,Part-time,880000,1,696,4,2,2150000,80,31,25,Standard EMI,Yes,940000,No,No,Fixed,6.5,8.4
60,Other,Married,2,Contractual,650000,20,763,5,3,2340000,68,32,9,Standard EMI,Yes,600000,No,Yes,Floating,6.5,7.12
23,Female,Single,2,Part-time,750000,5,641,2,3,910000,82,31,25,Standard EMI,Yes,810000,Yes,Yes,Floating,6.5,8.48
67,Female,Widowed,3,Salaried,1240000,12,787,4,2,1610000,72,33,10,Step-up EMI,No,1400000,Yes,Yes,Fixed,6.5,5.61
37,Other,Married,3,Contractual,860000,9,735,4,2,3150000,84,26,23,Standard EMI,Yes,2230000,Yes,No,Fixed,6.5,7.29
19,Male,Single,3,Salaried,390000,1,640,2,3,1210000,82,34,27,Step-up EMI,Yes,1710000,Yes,No,Fixed,6.5,7.81
29,Other,Single,0,Salaried,1420000,8,670,0,0,1510000,86,41,26,Step-up EMI,Yes,700000,Yes,No,Fixed,6.5,8.75
33,Male,Widowed,3,Contractual,1880000,2,768,0,1,4950000,84,33,19,Standard EMI,No,480000,Yes,No,Fixed,6.5,7.8
47,Male,Divorced,0,Part-time,400000,14,611,4,0,1140000,84,36,20,Step-up EMI,No,2400000,No,No,Floating,6.5,9.81
52,Male,Single,3,Contractual,770000,14,743,1,3,2240000,77,28,24,Step-up EMI,Yes,2450000,No,Yes,Fixed,6.5,7.37
53,Female,Widowed,2,Salaried,590000,25,824,3,2,7450000,81,35,25,Step-up EMI,Yes,80000,No,Yes,Floating,6.5,6.46
33,Male,Widowed,2,Part-time,1060000,11,733,0,3,3780000,85,32,16,Step-up EMI,No,2320000,Yes,No,Floating,6.5,8.24
30,Male,Single,0,Contractual,270000,12,530,5,0,220000,83,35,24,Step-up EMI,Yes,1670000,Yes,No,Floating,6.5,9.33
46,Female,Single,4,Salaried,1320000,1,734,4,3,7130000,85,33,11,Standard EMI,No,40000,Yes,Yes,Fixed,6.5,7.59
68,Male,Divorced,4,Part-time,460000,9,657,3,0,1910000,52,26,6,Step-up EMI,Yes,430000,No,No,Fixed,6.5,8.4
47,Male,Divorced,1,Salaried,2450000,29,766,1,3,2780000,78,35,18,Standard EMI,Yes,650000,Yes,No,Floating,6.5,7.77
73,Male,Single,4,Contractual,1160000,3,793,2,2,1780000,70,20,15,Standard EMI,No,1700000,Yes,No,Fixed,6.5,6.41
20,Male,Single,4,Part-time,150000,1,593,0,0,940000,88,33,25,Step-up EMI,Yes,2300000,No,Yes,Floating,6.5,7.96
35,Female,Single,1,Part-time,1180000,4,693,2,1,1470000,79,33,19,Step-up EMI,Yes,1930000,No,No,Floating,6.5,7.88
62,Male,Married,2,Retired,570000,18,664,3,2,1040000,52,21,10,Standard EMI,No,1020000,No,Yes,Floating,6.5,8.52
55,Other,Widowed,2,Part-time,500000,26,657,5,1,2930000,78,35,11,Step-up EMI,No,1110000,Yes,Yes,Fixed,6.5,7.51
49,Male,Married,0,Part-time,1160000,31,635,5,3,1940000,80,33,20,Standard EMI,Yes,1240000,No,No,Floating,6.5,8.93
24,Other,Single,4,Contractual,470000,6,601,1,2,1960000,85,37,30,Standard EMI,No,750000,No,No,Floating,6.5,8.99
