product_type,credit_score,years_with_bank,deposit_amount,repayment_history,market_trend,credit_score_adjustment,years_with_bank_adjustment,deposit_amount_adjustment,repayment_history_adjustment,market_trend_adjustment,final_interest_rate_adjustment_bps,adjusted_interest_rate
Home Loan,674,3,932751,excellent,falling,0,0,0,50,0,50,0.085
Fixed Deposit,738,15,335084,excellent,falling,0,50,25,0,-25,50,0.055
Home Loan,759,11,749400,excellent,rising,50,50,0,50,0,100,0.09
Home Loan,662,15,703002,excellent,stable,0,50,0,50,0,100,0.09
Home Loan,547,18,141544,excellent,falling,-50,50,0,50,0,50,0.085
Fixed Deposit,615,7,658725,excellent,rising,0,25,50,0,25,100,0.060000000000000005
Home Loan,724,5,405113,poor,stable,0,0,0,-50,0,0,0.08
Home Loan,646,9,157001,good,falling,0,25,0,0,0,25,0.0825
Home Loan,562,4,137725,poor,rising,-50,0,0,-50,0,0,0.08
Fixed Deposit,793,17,427928,good,falling,0,50,25,0,-25,50,0.055
Home Loan,512,9,160675,excellent,stable,-50,25,0,50,0,25,0.0825
Home Loan,688,9,144266,poor,rising,0,25,0,-50,0,0,0.08
Home Loan,786,6,321380,poor,rising,50,25,0,-50,0,25,0.0825
Home Loan,707,17,909029,excellent,rising,0,50,0,50,0,100,0.09
Fixed Deposit,613,0,265196,excellent,rising,0,0,25,0,25,50,0.055
Home Loan,521,6,184974,good,falling,-50,25,0,0,0,0,0.08
Fixed Deposit,713,0,673944,good,rising,0,0,50,0,25,75,0.0575
Fixed Deposit,670,14,346508,poor,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,553,3,681359,excellent,falling,0,0,50,0,-25,25,0.052500000000000005
Home Loan,797,19,406554,excellent,stable,50,50,0,50,0,100,0.09
Fixed Deposit,625,9,201168,good,rising,0,25,25,0,25,75,0.0575
Home Loan,776,8,193092,good,falling,50,25,0,0,0,75,0.0875
Fixed Deposit,703,1,632761,excellent,rising,0,0,50,0,25,75,0.0575
Fixed Deposit,693,13,291472,excellent,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,668,15,356297,good,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,651,0,222349,good,falling,0,0,25,0,-25,0,0.05
Fixed Deposit,534,1,350646,excellent,falling,0,0,25,0,-25,0,0.05
Fixed Deposit,683,6,65675,good,stable,0,25,0,0,0,25,0.052500000000000005
Fixed Deposit,785,9,991869,poor,falling,0,25,50,0,-25,50,0.055
Fixed Deposit,556,19,168384,poor,falling,0,50,25,0,-25,50,0.055
Home Loan,721,0,128229,excellent,stable,0,0,0,50,0,50,0.085
Home Loan,662,12,663337,excellent,stable,0,50,0,50,0,100,0.09
Fixed Deposit,518,0,757508,poor,falling,0,0,50,0,-25,25,0.052500000000000005
Fixed Deposit,763,4,401301,excellent,stable,0,0,25,0,0,25,0.052500000000000005
Fixed Deposit,781,15,270319,good,falling,0,50,25,0,-25,50,0.055
Home Loan,612,14,679999,good,stable,0,50,0,0,0,50,0.085
Fixed Deposit,529,16,684378,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,634,15,929753,good,rising,0,50,0,0,0,50,0.085
Home Loan,566,12,776262,good,rising,-50,50,0,0,0,0,0.08
Home Loan,564,10,862897,good,stable,-50,25,0,0,0,0,0.08
Home Loan,791,16,868718,excellent,stable,50,50,0,50,0,100,0.09
Home Loan,524,16,104795,poor,stable,-50,50,0,-50,0,0,0.08
Fixed Deposit,536,1,420283,good,falling,0,0,25,0,-25,0,0.05
Fixed Deposit,500,12,784543,good,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,536,13,153845,poor,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,640,10,362130,good,rising,0,25,25,0,25,75,0.0575
Fixed Deposit,731,9,387540,good,stable,0,25,25,0,0,50,0.055
Home Loan,635,2,891610,poor,rising,0,0,0,-50,0,0,0.08
Fixed Deposit,687,16,847177,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,627,14,828520,good,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,700,8,303730,poor,stable,0,25,0,-50,0,0,0.08
Fixed Deposit,626,9,253426,excellent,stable,0,25,25,0,0,50,0.055
Home Loan,756,7,916069,excellent,rising,50,25,0,50,0,100,0.09
Fixed Deposit,663,12,972532,poor,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,534,17,279333,poor,falling,-50,50,0,-50,0,0,0.08
Fixed Deposit,693,4,622854,poor,rising,0,0,50,0,25,75,0.0575
Fixed Deposit,690,5,880154,excellent,falling,0,0,50,0,-25,25,0.052500000000000005
Home Loan,603,16,923055,excellent,stable,0,50,0,50,0,100,0.09
Home Loan,522,10,423218,excellent,stable,-50,25,0,50,0,25,0.0825
Home Loan,764,19,649262,good,rising,50,50,0,0,0,100,0.09
Home Loan,789,15,526908,good,rising,50,50,0,0,0,100,0.09
Home Loan,759,8,396228,excellent,falling,50,25,0,50,0,100,0.09
Home Loan,574,1,220951,excellent,rising,-50,0,0,50,0,0,0.08
Home Loan,571,4,467983,good,rising,-50,0,0,0,0,0,0.08
Home Loan,758,0,298595,good,stable,50,0,0,0,0,50,0.085
Fixed Deposit,687,3,953785,excellent,stable,0,0,50,0,0,50,0.055
Fixed Deposit,672,3,678705,poor,falling,0,0,50,0,-25,25,0.052500000000000005
Home Loan,789,2,904531,excellent,stable,50,0,0,50,0,100,0.09
Fixed Deposit,544,8,229729,good,stable,0,25,25,0,0,50,0.055
Fixed Deposit,560,11,189570,poor,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,582,9,254739,good,rising,0,25,25,0,25,75,0.0575
Fixed Deposit,622,1,337251,excellent,stable,0,0,25,0,0,25,0.052500000000000005
Home Loan,515,10,734153,excellent,stable,-50,25,0,50,0,25,0.0825
Fixed Deposit,565,9,970200,poor,stable,0,25,50,0,0,75,0.0575
Home Loan,644,5,890271,excellent,falling,0,0,0,50,0,50,0.085
Fixed Deposit,661,17,663529,good,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,733,1,597685,poor,rising,0,0,50,0,25,75,0.0575
Fixed Deposit,643,1,581992,poor,rising,0,0,50,0,25,75,0.0575
Home Loan,687,9,852874,good,stable,0,25,0,0,0,25,0.0825
Fixed Deposit,512,15,769148,poor,falling,0,50,50,0,-25,75,0.0575
Home Loan,683,11,179576,poor,rising,0,50,0,-50,0,0,0.08
Fixed Deposit,610,0,59765,excellent,falling,0,0,0,0,-25,0,0.05
Home Loan,789,7,427972,excellent,stable,50,25,0,50,0,100,0.09
Fixed Deposit,794,15,60002,excellent,stable,0,50,0,0,0,50,0.055
Home Loan,714,17,834141,excellent,stable,0,50,0,50,0,100,0.09
Home Loan,619,12,847822,poor,rising,0,50,0,-50,0,0,0.08
Fixed Deposit,554,14,225508,good,stable,0,50,25,0,0,75,0.0575
Home Loan,526,11,308446,poor,stable,-50,50,0,-50,0,0,0.08
Fixed Deposit,617,7,527698,good,rising,0,25,50,0,25,100,0.060000000000000005
Fixed Deposit,720,9,295620,good,falling,0,25,25,0,-25,25,0.052500000000000005
Fixed Deposit,730,13,580929,good,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,552,4,476925,excellent,rising,0,0,25,0,25,50,0.055
Fixed Deposit,794,17,161119,poor,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,732,18,482525,good,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,657,14,327768,good,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,768,5,59966,excellent,stable,0,0,0,0,0,0,0.05
Fixed Deposit,520,10,270422,poor,stable,0,25,25,0,0,50,0.055
Fixed Deposit,552,10,215261,poor,stable,0,25,25,0,0,50,0.055
Fixed Deposit,774,19,121301,good,stable,0,50,25,0,0,75,0.0575
Home Loan,780,19,689411,good,falling,50,50,0,0,0,100,0.09
Home Loan,713,17,460439,good,falling,0,50,0,0,0,50,0.085
Fixed Deposit,530,17,545521,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,682,9,390327,excellent,stable,0,25,25,0,0,50,0.055
Fixed Deposit,522,1,808912,good,stable,0,0,50,0,0,50,0.055
Fixed Deposit,531,8,54959,excellent,rising,0,25,0,0,25,50,0.055
Fixed Deposit,573,13,994761,good,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,509,18,362946,good,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,553,9,698413,excellent,falling,0,25,50,0,-25,50,0.055
Fixed Deposit,551,3,435939,excellent,falling,0,0,25,0,-25,0,0.05
Home Loan,647,5,77215,excellent,rising,0,0,0,50,0,50,0.085
Fixed Deposit,659,13,105046,excellent,stable,0,50,25,0,0,75,0.0575
Home Loan,513,3,807553,good,rising,-50,0,0,0,0,0,0.08
