credit_score,years_with_bank,deposit_amount,repayment_history,market_trend,credit_score_adjustment,years_with_bank_adjustment,deposit_amount_adjustment,repayment_history_adjustment,market_trend_adjustment,final_interest_rate_adjustment_bps,adjusted_interest_rate,product_type
452,8,36221300,good,falling,-84,43,93,-19,-29,4,7.54,Home Loans
785,6,69293176,excellent,falling,91,33,93,62,-42,237,9.87,Fixed Deposits
620,0,29728001,excellent,stable,2,2,77,89,18,188,9.38,Fixed Deposits
456,6,13024131,excellent,falling,-63,48,90,85,-42,118,8.68,Home Loans
421,6,72719057,excellent,rising,-65,28,67,57,33,120,8.7,Fixed Deposits
370,19,60675028,poor,rising,-56,65,74,-75,40,48,7.98,Fixed Deposits
471,6,87869970,good,rising,-74,25,59,1,48,59,8.09,Fixed Deposits
816,7,56500042,excellent,stable,92,34,54,97,11,288,10.38,Fixed Deposits
564,15,75595453,good,rising,11,97,64,0,29,201,9.51,Fixed Deposits
680,2,62657063,poor,rising,20,-5,74,-56,38,71,8.21,Home Loans
808,12,37722481,excellent,falling,74,76,69,91,-31,279,10.29,Home Loans
437,9,4946802,excellent,stable,-67,47,48,63,-12,79,8.29,Home Loans
722,17,63267277,poor,falling,-23,70,100,-81,-36,30,7.8,Fixed Deposits
449,6,4982792,poor,rising,-72,29,45,-59,40,-17,7.82,Fixed Deposits
480,4,86168173,excellent,rising,-66,9,59,94,31,127,8.77,Home Loans
658,6,92532839,excellent,rising,17,46,98,77,35,273,10.23,Fixed Deposits
693,16,7326126,excellent,rising,15,85,30,57,28,215,9.65,Fixed Deposits
841,3,8892829,excellent,rising,100,-16,33,54,29,200,9.5,Home Loans
763,15,25478062,good,rising,59,83,77,25,38,282,10.32,Home Loans
735,18,31115881,excellent,rising,12,55,98,62,33,260,10.1,Home Loans
541,9,40405731,excellent,stable,12,38,99,51,-3,197,9.47,Home Loans
626,2,21067176,excellent,rising,-25,11,95,97,33,211,9.61,Home Loans
510,2,28202469,poor,rising,-25,-7,55,-87,48,-16,7.84,Fixed Deposits
809,16,52402942,excellent,stable,81,81,60,98,-15,2,7.52,Fixed Deposits
663,9,95888825,excellent,stable,-4,44,68,52,2,162,9.12,Home Loans
371,16,63337491,poor,falling,-82,70,65,-85,-32,-64,8.2,Fixed Deposits
602,16,93741102,good,rising,9,64,81,-17,43,180,9.3,Home Loans
824,3,97838874,excellent,falling,55,-9,51,88,-39,146,8.96,Home Loans
408,5,47312093,excellent,falling,-67,18,88,51,-36,54,8.04,Fixed Deposits
860,11,86110212,excellent,stable,64,94,75,60,8,-46,8.35,Fixed Deposits
825,19,43511857,good,rising,93,73,70,-2,36,270,10.2,Home Loans
539,16,62804068,excellent,rising,16,70,87,92,27,292,10.42,Fixed Deposits
593,16,15267810,excellent,stable,25,97,64,78,4,268,10.18,Home Loans
854,9,84533906,excellent,stable,94,39,62,63,21,279,10.29,Fixed Deposits
480,6,99511788,excellent,falling,-98,35,56,97,-37,53,8.03,Home Loans
834,15,87692297,good,stable,99,86,52,14,25,276,10.26,Home Loans
370,12,17842607,excellent,falling,-64,79,64,71,-48,102,8.52,Fixed Deposits
516,2,95441781,excellent,falling,-4,-8,69,96,-36,117,8.67,Fixed Deposits
623,1,98739599,poor,falling,19,2,52,-53,-40,-20,7.7,Home Loans
737,15,31106782,good,rising,3,62,76,8,46,195,9.45,Home Loans
665,5,80216621,excellent,rising,-12,17,64,85,33,187,9.37,Fixed Deposits
363,5,35359528,good,stable,-71,-16,52,7,2,-26,8.36,Home Loans
591,12,84361695,excellent,stable,-11,96,77,88,3,253,10.03,Home Loans
695,6,56997256,good,rising,24,31,96,17,31,199,9.49,Fixed Deposits
689,4,21149455,good,stable,3,-14,50,-8,13,44,7.94,Home Loans
441,6,36665714,good,stable,-87,42,69,-4,13,33,7.83,Fixed Deposits
716,1,84708889,good,rising,25,12,60,-1,41,137,8.87,Fixed Deposits
804,16,95266303,excellent,stable,52,90,74,86,-22,280,10.3,Fixed Deposits
777,12,61364785,good,falling,71,97,53,-21,-26,174,9.24,Fixed Deposits
858,15,12275219,excellent,stable,82,89,68,81,-22,298,10.48,Home Loans
384,19,70928283,excellent,stable,-78,75,77,98,-19,153,9.03,Fixed Deposits
555,1,20093886,poor,rising,-19,18,59,-65,26,19,7.69,Home Loans
430,4,59064887,good,stable,-81,-7,70,-17,11,-24,8.41,Fixed Deposits
737,17,56476691,poor,falling,-19,72,85,-87,-41,10,7.6,Home Loans
351,6,60442886,excellent,rising,-84,40,65,81,42,144,8.94,Home Loans
739,10,89519533,excellent,rising,6,85,82,58,38,269,10.19,Fixed Deposits
455,10,31423334,excellent,stable,-86,76,94,72,9,165,9.15,Home Loans
826,16,92735884,good,falling,62,65,100,19,-48,198,9.48,Fixed Deposits
751,15,57935656,excellent,rising,96,56,95,97,43,215,9.65,Fixed Deposits
511,12,53112081,excellent,rising,-23,62,62,94,45,240,9.9,Fixed Deposits
551,4,75391232,excellent,rising,-1,-14,78,58,50,171,9.21,Fixed Deposits
619,19,60126246,good,rising,23,76,53,-5,49,196,9.46,Home Loans
620,15,5615317,excellent,stable,6,82,34,93,-13,202,9.52,Fixed Deposits
805,15,58513440,poor,falling,65,80,76,-69,-44,108,8.58,Fixed Deposits
811,15,25476106,excellent,rising,50,60,57,93,30,290,10.4,Fixed Deposits
601,13,29597773,excellent,stable,20,66,90,59,-6,229,9.79,Home Loans
645,5,47703276,excellent,falling,-23,12,95,78,-38,124,8.74,Home Loans
687,1,28795032,poor,rising,-6,-24,57,-67,29,-11,7.9,Fixed Deposits
402,13,29381811,excellent,stable,-73,52,74,71,12,136,8.86,Home Loans
566,15,11306220,excellent,stable,-4,83,75,54,18,226,9.76,Home Loans
537,19,12323749,good,rising,10,99,50,-15,32,176,9.26,Home Loans
729,12,96116208,excellent,rising,15,81,92,77,49,121,8.71,Home Loans
842,14,9768147,good,stable,50,73,40,-2,-8,153,9.03,Home Loans
390,11,1424347,excellent,rising,-87,73,25,83,48,142,8.92,Fixed Deposits
506,8,42226352,excellent,rising,19,37,68,91,39,254,10.04,Fixed Deposits
364,17,23305866,excellent,falling,-86,71,69,89,-43,100,8.5,Home Loans
414,13,38565480,excellent,stable,-69,68,67,59,-13,112,8.62,Fixed Deposits
870,19,89780374,good,falling,67,79,75,0,-44,177,9.27,Home Loans
693,3,72300977,good,rising,22,13,88,17,40,180,9.3,Fixed Deposits
478,7,8298635,good,falling,-63,45,33,15,-31,-1,7.78,Home Loans
821,7,40655201,poor,stable,71,40,76,-94,-1,92,8.42,Fixed Deposits
412,15,54912475,excellent,falling,-85,72,55,93,-28,107,8.57,Home Loans
488,9,77319160,excellent,rising,-90,40,69,56,29,104,8.54,Home Loans
848,16,2739636,good,rising,56,91,30,22,44,243,9.93,Fixed Deposits
741,0,78094759,good,stable,-17,-19,50,25,-4,35,7.85,Home Loans
768,17,27821869,excellent,stable,50,69,87,97,21,-135,7.91,Home Loans
638,9,26342156,good,falling,16,40,65,-11,-29,81,8.31,Home Loans
728,3,38938663,excellent,rising,-18,16,53,95,49,195,9.45,Fixed Deposits
839,0,19652823,good,falling,60,-12,52,19,-28,91,8.41,Fixed Deposits
580,3,56857080,poor,falling,-21,0,71,-98,-36,-84,7.7,Home Loans
390,3,49643180,good,stable,-72,-4,58,19,-25,-24,7.57,Home Loans
377,3,12790189,excellent,rising,-95,15,57,75,28,80,8.3,Fixed Deposits
484,16,30960412,good,falling,-89,85,56,-19,-31,2,7.52,Home Loans
550,8,74820488,good,stable,17,50,61,-24,6,110,8.6,Fixed Deposits
382,18,50819717,excellent,falling,-62,61,50,59,-30,78,8.28,Home Loans
397,12,22563132,excellent,falling,-94,98,61,79,-25,119,8.69,Home Loans
852,3,15843537,poor,rising,93,5,65,-54,28,137,8.87,Fixed Deposits
756,4,63491576,excellent,stable,61,14,63,52,-11,179,9.29,Home Loans
448,12,58870082,excellent,rising,-68,53,79,87,27,178,9.28,Fixed Deposits
896,15,54608810,excellent,falling,68,89,92,78,-45,282,10.32,Fixed Deposits
811,4,58589828,good,rising,85,1,68,-1,38,191,9.41,Home Loans
354,7,35856745,poor,rising,-82,33,68,-55,26,-10,8.31,Home Loans
567,15,23845636,good,falling,-5,61,62,-22,-26,70,8.2,Fixed Deposits
852,0,59691724,excellent,rising,68,3,93,96,46,21,7.71,Fixed Deposits
747,5,70116707,good,stable,17,2,59,-21,1,58,8.08,Home Loans
742,10,51840680,good,rising,-17,65,96,-20,45,169,9.19,Fixed Deposits
556,15,43903330,good,stable,19,57,78,-7,22,169,9.19,Home Loans
364,4,30648225,excellent,stable,-79,21,77,67,9,95,8.45,Home Loans
810,15,89821995,good,rising,68,98,62,12,44,284,10.34,Fixed Deposits
590,6,99213109,excellent,falling,11,37,94,85,-45,182,9.32,Fixed Deposits
445,18,80202517,excellent,rising,-90,63,64,61,27,125,8.75,Home Loans
834,0,62475321,good,rising,74,-11,66,-2,50,177,9.27,Fixed Deposits
756,8,11549385,poor,rising,84,33,72,-71,47,165,9.15,Home Loans
580,17,66264796,excellent,stable,-21,93,92,63,-11,216,9.66,Home Loans
520,12,48156535,poor,rising,19,81,59,-62,29,126,8.76,Fixed Deposits
890,14,98870873,excellent,rising,80,71,85,51,50,77,8.27,Fixed Deposits
385,2,65918275,good,falling,-87,25,98,8,-50,-6,8.08,Fixed Deposits
874,9,10780035,excellent,rising,62,49,63,69,49,292,10.42,Fixed Deposits
509,8,76090142,excellent,rising,8,33,81,85,49,256,10.06,Home Loans
592,12,22005757,good,rising,8,75,83,-3,41,204,9.54,Fixed Deposits
435,15,93250719,good,rising,-83,94,80,9,44,144,8.94,Home Loans
377,2,9680749,good,rising,-95,3,31,8,36,-17,8.0,Fixed Deposits
689,14,5429888,good,rising,25,67,40,-5,44,171,9.21,Home Loans
680,16,4306385,good,rising,16,85,50,12,34,197,9.47,Home Loans
855,13,87110249,poor,rising,70,69,66,-55,48,198,9.48,Fixed Deposits
697,6,27735790,excellent,rising,14,25,71,57,26,193,9.43,Fixed Deposits
822,19,28940060,excellent,stable,54,69,85,92,-18,282,10.32,Fixed Deposits
580,15,94111608,excellent,stable,-24,52,84,100,-7,205,9.55,Home Loans
539,7,71865107,excellent,rising,-20,35,72,79,40,206,9.56,Fixed Deposits
574,3,31090729,good,falling,24,8,74,21,-25,102,8.52,Home Loans
734,19,10255534,excellent,falling,-18,55,54,69,-32,128,8.78,Fixed Deposits
726,14,11263064,excellent,falling,-24,80,55,69,-42,138,8.88,Fixed Deposits
632,4,70486394,excellent,rising,-3,9,75,72,32,185,9.35,Home Loans
608,12,88392563,good,stable,-6,81,87,-6,23,179,9.29,Fixed Deposits
708,5,15580848,excellent,rising,-22,16,55,95,39,183,9.33,Home Loans
805,4,88587202,excellent,falling,64,-17,68,72,-49,138,8.88,Home Loans
760,16,92900725,good,rising,79,95,92,-22,28,272,10.22,Home Loans
667,6,31858473,good,rising,-6,40,68,-16,30,116,8.66,Fixed Deposits
574,5,15579644,excellent,rising,-2,1,95,89,39,222,9.72,Fixed Deposits
583,1,10434275,good,stable,-17,-2,96,-21,-13,43,7.93,Fixed Deposits
723,10,7602044,excellent,stable,-5,99,29,81,6,210,9.6,Fixed Deposits
821,6,75488535,poor,rising,87,46,72,-83,27,149,8.99,Home Loans
582,7,56108797,excellent,rising,15,28,61,74,44,222,9.72,Home Loans
462,4,70286936,poor,falling,-88,0,62,-84,-35,-145,7.72,Home Loans
846,17,19754537,poor,falling,54,99,71,-96,-37,91,8.41,Fixed Deposits
791,15,58545658,good,stable,95,51,99,9,10,264,10.14,Home Loans
617,13,72484623,excellent,stable,-12,91,52,91,-16,206,9.56,Fixed Deposits
859,11,20744703,good,rising,99,93,61,-5,47,295,10.45,Home Loans
735,16,5185467,excellent,rising,-19,56,29,85,47,198,9.48,Fixed Deposits
736,4,50271373,poor,rising,-20,1,80,-82,47,26,7.76,Home Loans
462,13,5732723,good,rising,-89,65,37,-3,28,38,7.88,Fixed Deposits
430,5,70831488,poor,stable,-55,23,72,-96,18,-38,8.06,Home Loans
462,14,34000933,good,rising,-50,95,62,7,29,143,8.93,Home Loans
351,6,14531454,good,rising,-85,48,55,-22,28,24,7.74,Fixed Deposits
569,13,50210713,good,rising,25,78,97,7,33,240,9.9,Home Loans
574,17,14098338,excellent,rising,6,70,52,96,44,268,10.18,Fixed Deposits
734,0,57654087,excellent,stable,16,0,56,84,7,163,9.13,Home Loans
752,5,35134938,good,rising,60,-8,59,16,40,167,9.17,Home Loans
479,2,66694630,poor,rising,-97,-25,80,-75,32,-85,7.91,Home Loans
402,4,9491968,good,stable,-72,-24,28,11,-13,-70,8.02,Home Loans
765,11,45807716,poor,rising,83,63,93,-79,46,206,9.56,Fixed Deposits
596,10,82906725,poor,rising,-17,87,55,-90,42,77,8.27,Home Loans
788,12,89961770,good,stable,59,64,67,23,6,219,9.69,Fixed Deposits
552,15,34632704,excellent,rising,-18,85,56,75,25,223,9.73,Home Loans
533,17,71683843,good,stable,10,73,83,15,-19,162,9.12,Home Loans
472,16,16836851,excellent,stable,-69,74,72,62,-12,127,8.77,Fixed Deposits
750,16,12210113,excellent,rising,19,58,57,63,32,229,9.79,Home Loans
643,10,88426071,excellent,rising,-20,64,99,90,40,273,10.23,Fixed Deposits
629,19,22990124,poor,falling,-20,86,73,-52,-37,50,8.0,Home Loans
547,9,16699698,excellent,rising,1,30,77,56,34,198,9.48,Fixed Deposits
860,15,27299793,good,falling,51,92,94,-10,-42,185,9.35,Fixed Deposits
493,1,55071626,poor,rising,-92,19,52,-81,44,-58,7.6,Fixed Deposits
550,16,48576898,good,stable,12,61,62,19,13,167,9.17,Home Loans
473,19,60449360,good,stable,-96,76,88,20,11,99,8.49,Home Loans
536,9,69353491,good,falling,8,31,82,24,-37,108,8.58,Fixed Deposits
675,12,58657165,excellent,rising,-12,77,99,92,42,298,10.48,Fixed Deposits
813,11,52677178,excellent,rising,59,61,65,76,43,141,8.91,Fixed Deposits
698,14,40722268,poor,rising,21,91,60,-67,32,137,8.87,Home Loans
752,6,93406046,excellent,falling,98,27,78,71,-41,233,9.83,Fixed Deposits
695,12,70360351,good,rising,-19,51,74,12,35,153,9.03,Fixed Deposits
860,11,16256612,good,falling,69,75,66,11,-46,175,9.25,Home Loans
496,11,33116743,excellent,rising,-90,69,86,52,39,156,9.06,Fixed Deposits
497,1,14169301,poor,rising,-88,-1,55,-74,27,-81,8.43,Home Loans
838,4,84115715,good,rising,66,-5,95,-19,48,185,9.35,Fixed Deposits
900,1,67150155,excellent,stable,86,-25,63,84,-19,189,9.39,Fixed Deposits
687,19,53349177,poor,falling,18,77,68,-56,-44,63,8.13,Home Loans
822,12,96416753,good,rising,85,87,86,-3,45,300,10.5,Home Loans
500,2,12829959,excellent,falling,7,-13,99,51,-31,113,8.63,Fixed Deposits
764,10,61453753,good,rising,59,79,92,-2,46,274,10.24,Home Loans
647,15,30258714,excellent,stable,8,59,61,51,12,191,9.41,Home Loans
612,0,51499759,good,stable,19,19,68,24,-20,110,8.6,Home Loans
493,18,21496789,excellent,rising,-88,71,70,85,34,172,9.22,Home Loans
695,10,96926558,good,rising,-1,78,78,-9,44,190,9.4,Fixed Deposits
351,8,19687373,good,rising,-57,29,77,-15,50,84,8.34,Fixed Deposits
653,13,97278069,poor,rising,7,57,66,-94,50,86,8.36,Fixed Deposits
603,8,46170921,good,falling,-16,45,98,-24,-39,64,8.14,Home Loans
802,6,84465316,excellent,falling,73,35,51,64,-47,176,9.26,Fixed Deposits
386,15,90962963,poor,stable,-96,75,55,-55,11,-10,8.27,Home Loans
509,2,33657132,good,stable,-16,-7,74,5,22,78,8.28,Fixed Deposits
358,18,30231738,good,rising,-62,68,68,20,37,131,8.81,Fixed Deposits
582,3,74296814,excellent,rising,21,4,55,55,25,160,9.1,Fixed Deposits
